"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
334.911,350.911,329.911,363.911,346.911,365.911,330.911,368.911,361.911,383.185428619087,353.185428619087,361.185428619087,358.185428619087,376.185428619087,333.185428619087,308.185428619087,354.185428619087,309.185428619087,353.784644790705,297.784644790705,336.784644790705,290.784644790705,360.784644790705,356.784644790705,376.784644790705,373.784644790705,378.160097792336,370.160097792336,364.160097792336,355.160097792336,332.160097792336,342.160097792336,339.160097792336,313.160097792336,370.160097792336,303.701,339.701,361.701,331.701,297.701,344.701,293.701,366.701,368.701,363.701
335.141,351.141,330.141,364.141,347.141,366.141,331.141,369.141,362.141,383.505428619087,353.505428619087,361.505428619087,358.505428619087,376.505428619087,333.505428619087,308.505428619087,354.505428619087,309.505428619087,354.041454354913,298.041454354913,337.041454354913,291.041454354913,361.041454354913,357.041454354913,377.041454354913,374.041454354913,378.473097792336,370.473097792336,364.473097792336,355.473097792336,332.473097792336,342.473097792336,339.473097792336,313.473097792336,370.473097792336,303.96,339.96,361.96,331.96,297.96,344.96,293.96,366.96,368.96,363.96
335.343,351.343,330.343,364.343,347.343,366.343,331.343,369.343,362.343,383.817428619087,353.817428619087,361.817428619087,358.817428619087,376.817428619087,333.817428619087,308.817428619087,354.817428619087,309.817428619087,354.041454354913,298.041454354913,337.041454354913,291.041454354913,361.041454354913,357.041454354913,377.041454354913,374.041454354913,378.775097792336,370.775097792336,364.775097792336,355.775097792336,332.775097792336,342.775097792336,339.775097792336,313.775097792336,370.775097792336,304.229,340.229,362.229,332.229,298.229,345.229,294.229,367.229,369.229,364.229
335.756,351.756,330.756,364.756,347.756,366.756,331.756,369.756,362.756,384.175428619087,354.175428619087,362.175428619087,359.175428619087,377.175428619087,334.175428619087,309.175428619087,355.175428619087,310.175428619087,354.306454354913,298.306454354913,337.306454354913,291.306454354913,361.306454354913,357.306454354913,377.306454354913,374.306454354913,379.092097792336,371.092097792336,365.092097792336,356.092097792336,333.092097792336,343.092097792336,340.092097792336,314.092097792336,371.092097792336,304.586,340.586,362.586,332.586,298.586,345.586,294.586,367.586,369.586,364.586
336.123,352.123,331.123,365.123,348.123,367.123,332.123,370.123,363.123,384.578428619087,354.578428619087,362.578428619087,359.578428619087,377.578428619087,334.578428619087,309.578428619087,355.578428619087,310.578428619087,354.617454354913,298.617454354913,337.617454354913,291.617454354913,361.617454354913,357.617454354913,377.617454354913,374.617454354913,379.21168688292,371.21168688292,365.21168688292,356.21168688292,333.21168688292,343.21168688292,340.21168688292,314.21168688292,371.21168688292,304.948,340.948,362.948,332.948,298.948,345.948,294.948,367.948,369.948,364.948
336.522,352.522,331.522,365.522,348.522,367.522,332.522,370.522,363.522,384.987428619087,354.987428619087,362.987428619087,359.987428619087,377.987428619087,334.987428619087,309.987428619087,355.987428619087,310.987428619087,354.862454354913,298.862454354913,337.862454354913,291.862454354913,361.862454354913,357.862454354913,377.862454354913,374.862454354913,379.21168688292,371.21168688292,365.21168688292,356.21168688292,333.21168688292,343.21168688292,340.21168688292,314.21168688292,371.21168688292,305.304,341.304,363.304,333.304,299.304,346.304,295.304,368.304,370.304,365.304
336.898,352.898,331.898,365.898,348.898,367.898,332.898,370.898,363.898,385.190428619087,355.190428619087,363.190428619087,360.190428619087,378.190428619087,335.190428619087,310.190428619087,356.190428619087,311.190428619087,355.254454354913,299.254454354913,338.254454354913,292.254454354913,362.254454354913,358.254454354913,378.254454354913,375.254454354913,379.61868688292,371.61868688292,365.61868688292,356.61868688292,333.61868688292,343.61868688292,340.61868688292,314.61868688292,371.61868688292,305.616,341.616,363.616,333.616,299.616,346.616,295.616,368.616,370.616,365.616
337.25,353.25,332.25,366.25,349.25,368.25,333.25,371.25,364.25,385.506428619087,355.506428619087,363.506428619087,360.506428619087,378.506428619087,335.506428619087,310.506428619087,356.506428619087,311.506428619087,355.641454354913,299.641454354913,338.641454354913,292.641454354913,362.641454354913,358.641454354913,378.641454354913,375.641454354913,380.02068688292,372.02068688292,366.02068688292,357.02068688292,334.02068688292,344.02068688292,341.02068688292,315.02068688292,372.02068688292,305.917,341.917,363.917,333.917,299.917,346.917,295.917,368.917,370.917,365.917
337.622,353.622,332.622,366.622,349.622,368.622,333.622,371.622,364.622,385.681428619087,355.681428619087,363.681428619087,360.681428619087,378.681428619087,335.681428619087,310.681428619087,356.681428619087,311.681428619087,356.054454354913,300.054454354913,339.054454354913,293.054454354913,363.054454354913,359.054454354913,379.054454354913,376.054454354913,380.39368688292,372.39368688292,366.39368688292,357.39368688292,334.39368688292,344.39368688292,341.39368688292,315.39368688292,372.39368688292,306.225,342.225,364.225,334.225,300.225,347.225,296.225,369.225,371.225,366.225
337.955,353.955,332.955,366.955,349.955,368.955,333.955,371.955,364.955,385.913428619087,355.913428619087,363.913428619087,360.913428619087,378.913428619087,335.913428619087,310.913428619087,356.913428619087,311.913428619087,356.287454354913,300.287454354913,339.287454354913,293.287454354913,363.287454354913,359.287454354913,379.287454354913,376.287454354913,380.79968688292,372.79968688292,366.79968688292,357.79968688292,334.79968688292,344.79968688292,341.79968688292,315.79968688292,372.79968688292,306.534,342.534,364.534,334.534,300.534,347.534,296.534,369.534,371.534,366.534
